CustomerCode,CustomerTitle,DestinationCategoryTitle,DestinationGroupTitle,Email,ContactNumber,MobileNumber,CreditDays,ISRegistered,STRegistrationNo,AccountCode,AccountTitle,NTN,NationalTitle,RegionTitle,TerritoryTitle,TownTitle,ZoneTitle,Active,Address
12,Abid Chemical Fsb,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,faisalabad,punjab,Yes,None
13,Al Habib CHICKEN,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
14,Amaar food fsb,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,faisalabad,punjab,Yes,None
15,Arsalan jodia,distributor,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
16,Pak Food Rawat Asad javed ,industry,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,rawat,punjab,Yes,None
17,Asif faislabad,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,faisalabad,punjab,Yes,None
18,Asif Prime Jodia,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
19,Asif sohrab goth ,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
20,Bhaya Food N.Karachi,industry,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
21,Bilal fsb,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,faisalabad,punjab,Yes,None
22,Bin Dawood Lhr,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,lahore,punjab,Yes,None
23,Feroz Food,industry,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
24,Food zone,restaurant,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
25,Gohar Mardan,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,mardan,kpk,Yes,None
26,Golden Food,industry,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
28,Haji noor muhammad faislabad,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,faisalabad,punjab,Yes,None
29,Kamran Mardaan,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,mardan,kpk,Yes,None
30,Lotte Kolson,industry,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
31,Multi Link,industry,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
32,National Foods,industry,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
33,Prime International jodia (Munaf),trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
34,Rasul Flour Mills Bake Parlor,industry,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
35,Riaz Faislabad,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,faisalabad,punjab,Yes,None
36,S.M Irfan,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
37,Suddle Foods faislabad masroor,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,faisalabad,punjab,Yes,None
38,Volka Food International,industry,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,multan,punjab,Yes,None
40,chicken Zam Zam Chemical jodia bazar,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
41,AL Habib CHOCO,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
42,Abdul Rehman,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
43,Adil shah quetta,trader,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,quetta,baluchistan,Yes,None
44,Ahmed Dairy Mehmood Rawalpindi,trader,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,pindi,punjab,Yes,None
45,cream akhter ( shafkat),trader,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
46,Akhter Bhawalnugar,trader,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,bhawalnugar,punjab,Yes,None
47,Al Kabeer,restaurant,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
48,Shazad Rahim Yar khan,trader,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,raheem yar khan,punjab,Yes,None
49,Sufi sargodha Tahir,trader,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,sarghoda,punjab,Yes,None
50,S & W marketing,distributor,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,pindi,punjab,Yes,None
51,Sultan mardan,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,mardan,kpk,Yes,None
52,Agha khan chaman,trader,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,chaman,baluchistan,Yes,None
53,Akber Lodhi Multan,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,multan,punjab,Yes,None
54,Asad Ent Tariq road Khi,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
55,Asad Ullah khan peshawar,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,peshawar,kpk,Yes,None
56,Atique Disturber Khi,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
57,Saleem pindi,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,pindi,punjab,Yes,None
58,Haram traders shahfaisal,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
59,Hussain shahfaisal,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
60,Jhandiala Traders Rwp,distributor,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,pindi,punjab,Yes,None
61,MOSA (Atique Disturber Khi),distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
62,N S Orangi Town,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
63,Prime Marketing Wali Khi,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
64,Rehman marketing Queta,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,quetta,baluchistan,Yes,None
65,Rizwan D.I.K,distributor,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,dera ismail khan,kpk,Yes,None
66,Shujat Buferzone Khi,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
68,Take Care Orangi Town,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
69,Tariq Trader PSWR,distributor,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,peshawar,kpk,Yes,None
70,ZIA traders sawat,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,sawat,kpk,Yes,None
71,Hanif Food Industries ,exporter,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,Korangi Karachi 
72,Imtiaz store faisalabad,LMT,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,faisalabad,punjab,No,None
73,Imtiaz store gujranwala,LMT,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,gujranwala,punjab,No,None
74,Imtiaz store karachi,LMT,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
78,Shaaf Trading co Lahore,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,lahore,punjab,Yes,None
79,Ahmed Traders Hydrabad,distributor,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,hyderabad,sindh,Yes,None
80,Corolla Traders Sialkot,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,sialkot,punjab,Yes,Sialkot 
81,J A  Traders Sarghoda,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,sarghoda,punjab,Yes,None
82,Hafiz Junaid Traders Multan,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,multan,punjab,Yes,None
83,Imran Traders Jhang,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,jhang,punjab,Yes,None
84,Rehmat Traders Azad Kashmir,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,kashmir,punjab,Yes,None
85,Sales Links / Tariq fsb,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,faisalabad,punjab,Yes,Faisalabad
87,Shaban Traders Toba tek singh,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,toba tak singh,punjab,Yes,None
88,Sher-E-Rabani Traders sheikhupura,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,sheikhpura,punjab,Yes,None
89,Waqar Traders Gujrat,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,gujrat,punjab,Yes,None
90,Zain Traders Gujrawala,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,gujranwala,punjab,Yes,None
91,Saram Traders,distributor,adil,ranaabdulsattar725@gmail.com,0,03082575724,30,No,0,101002001,Account Receivable,-,None,None,None,jhelum,punjab,Yes,sarae alamgir
92,Sohny Traders (Mushtaq),distributor,adnan,none@gmail.com,0,030000000,30,No,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,No,PLo123
93,Sadrudin impres market,trader,adil,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
94,Qundal Restaurant,restaurant,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
95,Ghani Traders (Naeem JODIA ),trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
96,Rosati restaurant,restaurant,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
97,Saeed & Sons hyd,distributor,adil,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,hyderabad,sindh,Yes,PLo123
98,Shahab Multan Cake Gel,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,multan,punjab,Yes,PLo123
99,Cake Jel Hasan multan,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,multan,punjab,Yes,PLo123
100,inter foods,industry,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
101,S.M Food,industry,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,multan,punjab,Yes,PLo123
102,sharukh multan,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,multan,punjab,Yes,PLo123
103,Cash Customer,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
104,Chicken A.One,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
105,abid designer,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
107,Asif Chatti,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
108,asif multan,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,multan,punjab,Yes,PLo123
109,asif sohrab goth 03212884214,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
110,Gufran Mardan,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,mardan,kpk,Yes,PLo123
111,Imtiaz karimabad,trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
112,Imtiaz sb,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,multan,punjab,Yes,PLo123
113,Mushtaq raza,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
114,Prime (munaf )jodia,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
116,Waqar Nisar Multan,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,multan,punjab,Yes,PLo123
119,ahmed dairy mehmood pindi,trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,pindi,punjab,Yes,PLo123
120,akhter ( shafkat),trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
121,cash partys,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,No,PLo123
122,Hanif Limarket,trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
123,Nisar Sarghodha,trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,sarghoda,punjab,Yes,PLo123
124,Omega Dairy,trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
125,Raja Zubair Chakwl,trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,chakwal,punjab,Yes,PLo123
126,sample,trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
127,Shafiq Sahiwal,trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,sahiwal,punjab,Yes,PLo123
128,Shafkat Khanpur,trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,khanpur,punjab,Yes,PLo123
129,Shaheen dairy,trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
130,sultan Bread Crumbs,trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,No,PLo123
131,Tahir Bilal sargodha,trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,sarghoda,punjab,Yes,Sarghoda 
132,Zahid Sale,trader,adnan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
133,Discovery Ventures,trader,sultan,none@gmail.com,0,-,30,Yes,0,101002001,Account Receivable,0,None,None,None,karachi,sindh,Yes,PLo123
134,Master Food,industry,adnan,asd@nxmnz.cm,31212,030000,30,No,0,101002001,Account Receivable,212,None,None,None,nowshehra,kpk,Yes,Lahore  
135,Ginsoy Sindhi Muslim,restaurant,sultan,none@gmail.com,(021)34398831-35, 0334-3555606,30,Yes,0,101002001,Account Receivable,456,None,None,None,karachi,sindh,Yes,"122, Block-A, S.M.C.H.S"
136,Rashid Ali Rawalpindi,trader,adnan,none@gmail.com,31,0300-0000000,30,No,0,101002001,Account Receivable,0278930-0,None,None,None,pindi,punjab,Yes,Rawalpindi
137,Ginsoy DHA,restaurant,sultan,none@gmail.com,021-35345362-6,0334-3555606,30,No,0,101002001,Account Receivable,77787877,None,None,None,karachi,sindh,Yes,"29c, Khayaban-e-Shahbaz, Phase 6, DHA"
138,Sultan Office,trader,sultan,syedsultan268@gmail.com,02136987456,0313-9280417,30,No,0,101002001,Account Receivable,8888888,None,None,None,karachi,sindh,No,R-86 Block 2
139,BVank Al habib Limited,trader,adnan,bah@gmail.com,021369745,03000000000,30,No,0,101001002007,bank al habib allama iqbal road branch,123456787,None,None,None,karachi,sindh,Yes,1026 Allama iqbal Road branch 86-s Block 2 PECHS Karachi
140,Sultan Crackers,trader,sultan,abc@gmail.com,0,03009280417,30,No,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,No,"karachi, pakistan"
141,Sultan Chicken powder,trader,sultan,abc@gmail.com,0,03009280417,30,No,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,No,"karachi, pakistan"
142,Sultan Whip Cream,trader,sultan,abc@gmail.com,0,03009280417,30,No,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,No,"karachi, pakistan"
143,Asgher Lahore,trader,adil,None@gmail.com,0213098765,03000000000,30,No,0,101002001,Account Receivable,129865-99,None,None,None,lahore,punjab,Yes,Lahore
144,Abdullah Gawader ,distributor,adnan,None@gmail.com,0213432123,03000000000,30,No,0,101002001,Account Receivable,09876414,None,None,None,gawader,baluchistan,Yes,Sitara Balochistan Goods Gate # 1 Gali # 04
145,IMTIAZ KHATTAK,trader,adnan,ABC@GMAIL.COM,-,-,30,No,0,401002,Sales,-,None,None,None,peshawar,kpk,Yes,"KARAK, KPK"
146,UMER TRADERS LAHORE,trader,adnan,ABC@ABC.COM,-,-,30,No,0,401002,Sales,-,None,None,None,lahore,punjab,Yes,"LAHORE, PAKISTAN"
147,YUM RESTAURANT ,restaurant,adnan,waqar@yumpakistan.pk,0,03018418424,30,No,0,401002,Sales,-,None,None,None,lahore,punjab,Yes,Pakistan 
148,CHINA CASTLE,restaurant,sultan,ABC@ABC.COM,-,0,30,No,0,401002,Sales,-,None,None,None,karachi,sindh,Yes,"NEW TOWN KARACHI, PAKISTAN"
149,SULEMAN FOODS,industry,adnan,ABC@ABC.COM,0,0,30,No,0,401002,Sales,-,None,None,None,multan,punjab,Yes,"MULTAN, PAKISTAN"
150,SPAR Super Store,LMT,sultan,ABC@ABC.COM,-,-,30,No,0,401002,Sales,-,None,None,None,karachi,sindh,Yes,"NEWTOWN, KARACHI"
151,Rehan Fishery,trader,adnan,ABC@ABC.COM,-,03332345207,30,No,0,401002,Sales,-,None,None,None,karachi,sindh,Yes,"Fishery, karachi"
152,Chemicalwala corporation,trader,adnan,ABC@ABC.COM,-,03328727300,30,No,0,401002,Sales,-,None,None,None,karachi,sindh,Yes,"jodia bazar, karachi"
153,pak trad ,trader,adnan,abc@abc.com,-,-,30,No,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,karachi pakistan
154,Kamran quetta,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,quetta,baluchistan,Yes,None
155,cream saqib jehlum,trader,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,jehlum,punjab,Yes,None
156,Abdullah Sargodha,distributor,adil,None@gmail.com,-,03000000000,30,No,0,101002001,Account Receivable,-,None,None,None,sarghoda,punjab,Yes,"sargodha, Pakistan"
157,Zam Zam Chemical Faisalabad,trader,adnan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,faisalabad,punjab,Yes,None
158,Quality Store Lahore,distributor,adil,abc@abc.com,-,-,30,No,0,101002001,Account Receivable,-,None,None,None,lahore,punjab,Yes,Lahore
159,Noman pindi,trader,adnan,abc@abc.com,-,03315552522,30,No,0,101002001,Account Receivable,-,None,None,None,pindi,punjab,Yes,Rawalpindi
160,Tariq Gujranwala,trader,adnan,abc@abc.com,-,-,30,No,0,101002001,Account Receivable,-,None,None,None,gujranwala,punjab,Yes,gujranwala
161,Chicken Khurram,trader,adnan,abc@abc.com,-,03333575124,30,No,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,karachi
162,Abdul Samad,trader,adnan,abc@abc.com,-,03229992345,30,Yes,0,101002001,Account Receivable,-,None,None,None,lahore,punjab,Yes,Lahore
163,mian Izhar traders sheikhupura,distributor,adil,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,sheikhpura,punjab,Yes,None
164,Bahia Pizza Gujrat Naeem ,restaurant,adnan,abc@abc.com,-,03006205522,30,Yes,0,101002001,Account Receivable,-,None,None,None,gujrat,punjab,Yes,Gujrat 
165,Azmatullah Gulistan e Johar,trader,adnan,abc@abc.com,-,-,30,No,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,gulistan e johar 
166,Ahmed Impex,trader,adnan,ahmedallawala@gmail.com,-,-,30,No,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,"Karachi, Pakistan"
167,Ginsoy Gulshan,restaurant,sultan,none@gmail.com,021-35345362-6,0334-3555606,30,No,0,101002001,Account Receivable,77787877,None,None,None,karachi,sindh,Yes,"Gulshan, Karachi"
168,Kundan Resturant ,restaurant,sultan,abc@abc.com,-,-,30,No,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,Shikharpur
169,Fira Ent ,distributor,adil,abc@abc.com,-,03,30,Yes,0,101002001,Account Receivable,-,None,None,None,wah cant,punjab,Yes,Wah Cant
170,J J Enterprises Attock ,distributor,adil,abc@abc.com,-,03,30,Yes,0,101002001,Account Receivable,-,None,None,None,attock,punjab,Yes,Attock 
171,Waseem And SonsRawalpindi,trader,adil,abc@abc.com,-,03,30,Yes,0,101002001,Account Receivable,-,None,None,None,pindi,punjab,Yes,Dalgaran Bazar Rawalpindi 
172,Maj Flavor,industry,adnan,abc@abc.com,03213633925,-,30,No,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,"karachi, pakistan"
173,Marriot Hotel,restaurant,sultan,abc@abc.com,-,-,30,No,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,"karachi, pakistan"
174,Ginsoy Hyderi ,restaurant,sultan,none@gmail.com,021-35345362-6,0321,30,No,0,101002001,Account Receivable,77787877,None,None,None,karachi,sindh,Yes,"Gulshan, Karachi"
175,Chase UP Multan,LMT,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,multan,punjab,Yes,None
176,Sheikh Noman Pindi,trader,adnan,abc@abc.com,-,0321,30,Yes,0,101002001,Account Receivable,-,None,None,None,pindi,punjab,Yes,Rawalpindi 
177,Muhammad Ismail Bahawalpur,trader,adnan,none@gmail.com,021345697877,0312-1234567,30,No,0,101002001,Account Receivable,12345-987,None,None,None,bahawalpur,punjab,Yes,Bahawalpur (Mehmood goods Karachi)
178,Chase UP Faislabad,LMT,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,faisalabad,punjab,Yes,None
179,Imran Chawala,trader,adnan,abc@abc.com,-,0321,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,Karachi
180,Chase Omega,LMT,sultan,None@gmail.com,-,-,30,Yes,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,None
181,AUK Khizer,trader,adil,abc@abc.com,-,0321,30,Yes,0,101002001,Account Receivable,-,None,None,None,lahore,punjab,Yes,Lahore
182,Bilal Traders Gojra,trader,adil,none@gmail.com,-,-,30,No,0,101002001,Account Receivable,-,None,None,None,gojra,punjab,Yes,none
183,Mehar Traders Shah Kot,distributor,adil,none@gmail.com,-,-,30,No,0,101002001,Account Receivable,-,None,None,None,shah kot,punjab,Yes,-
184,Sabir Trading abbottabad,distributor,adil,none@gmail.com,-,-,30,No,0,101002001,Account Receivable,-,None,None,None,abbotabad,kpk,Yes,-
185,Ginsoy Prime,restaurant,sultan,none@gmail.com,-,-,30,No,0,101002001,Account Receivable,-,None,None,None,karachi,sindh,Yes,-
186,yum closed ,restaurant,sultan,none@gmail.com,-,-,30,No,0,101002001,Account Receivable,-,None,None,None,lahore,punjab,No,-
187,Riaz Lahore,trader,adnan,none@gmail.com,-,-,30,No,0,101002001,Account Receivable,-,None,None,None,lahore,punjab,Yes,-
